host_city,year,host_country,artist_country,running_order
Malmö,2013,Sweden,Georgia,15.0
Malmö,2013,Sweden,Azerbaijan,4.0
Malmö,2013,Sweden,Norway,13.0
Malmö,2013,Sweden,Malta,6.0
Malmö,2013,Sweden,Iceland,8.0
Malmö,2013,Sweden,Greece,9.0
Malmö,2013,Sweden,Armenia,12.0
Malmö,2013,Sweden,Netherlands,13.0
Malmö,2013,Sweden,Belgium,6.0
Malmö,2013,Sweden,Hungary,17.0
Malmö,2013,Sweden,Finland,4.0
Malmö,2013,Sweden,Ukraine,22.0
Malmö,2013,Sweden,Russia,10.0
Malmö,2013,Sweden,Romania,14.0
Malmö,2013,Sweden,Georgia,25.0
Malmö,2013,Sweden,Azerbaijan,20.0
Malmö,2013,Sweden,Ireland,26.0
Malmö,2013,Sweden,Moldova,3.0
Malmö,2013,Sweden,Norway,24.0
Malmö,2013,Sweden,Estonia,7.0
Malmö,2013,Sweden,Belarus,8.0
Malmö,2013,Sweden,Malta,9.0
Malmö,2013,Sweden,Lithuania,2.0
Malmö,2013,Sweden,Iceland,19.0
Malmö,2013,Sweden,Greece,21.0
Malmö,2013,Sweden,Denmark,18.0
Malmö,2013,Sweden,Spain,5.0
Malmö,2013,Sweden,Italy,23.0
Malmö,2013,Sweden,United Kingdom,15.0
Malmö,2013,Sweden,Sweden,16.0
Malmö,2013,Sweden,Germany,11.0
Malmö,2013,Sweden,France,1.0
Baku,2012,Azerbaijan,Israel,10.0
Baku,2012,Azerbaijan,Finland,9.0
Baku,2012,Azerbaijan,Switzerland,7.0
Baku,2012,Azerbaijan,San Marino,11.0
Baku,2012,Azerbaijan,Latvia,4.0
Baku,2012,Azerbaijan,Belgium,8.0
Baku,2012,Azerbaijan,Austria,16.0
Baku,2012,Azerbaijan,Montenegro,1.0
Baku,2012,Azerbaijan,Hungary,15.0
Baku,2012,Azerbaijan,Ireland,18.0
Baku,2012,Azerbaijan,Greece,3.0
Baku,2012,Azerbaijan,Russia,14.0
Baku,2012,Azerbaijan,Denmark,13.0
Baku,2012,Azerbaijan,Albania,5.0
Baku,2012,Azerbaijan,Romania,6.0
Baku,2012,Azerbaijan,Cyprus,12.0
